이슈ID,이슈제목,출처,관련부서,제기빈도,대표인용,예상담당
I001,평가 체계가 조직 개편 반영 안 됨,간담회1+제보01+설문,R&D센터,9,"작년 KPI 그대로 보고 있다",인사팀
I002,AI 도구 사내 표준 부재,간담회2+제보02+제보07,공정/분석,7,"개인 계정으로 씁니다",IT전략본부
I003,온보딩 가이드 부재,간담회1+제보03+설문,신입직군,5,"3주차인데 1:1이 없다",인사팀+팀장
I004,결재 프로세스 과다 단계,간담회3+제보04+제보10,전사,8,"5만원 시약에 6단계 결재",기획팀
I005,재택근무 축소 반발,간담회1+제보05+경영진이력,전사,12,"육아 중인데 주1회로 축소",경영진
I006,특허 KPI 질적 평가 부재,간담회1+제보06+설문,R&D전체,6,"쓸데없는 특허 양산",R&D본부장
I007,AI 효율 30% 숫자 출처 불명,간담회2+제보07,공정/소재,4,"실측은 문서만 빨라짐",경영진
I008,사내 지식 검색 시스템 부재,간담회3+제보08+경영진이력,전사,11,"선배 분석 6개월 후 알았다",IT전략본부
I009,피드백 루프 단절,간담회1+제보09+경영진이력,전사,10,"3번째 사용인데 무반응",경영진+JB
I010,회의 과다,간담회2+설문,공정/품질,7,"하루 4개 일 못함",팀장급
